name,company,year,kms_driven,fuel_type,Price
Renault i20,Renault,2006,74674,Diesel,55639
Maruti Nexon,Maruti,2005,96475,CNG,50000
Hyundai City,Hyundai,2008,131750,Diesel,59084
Honda Kwid,Honda,2015,54738,LPG,148621
Maruti Nexon,Maruti,2018,86367,Petrol,397414
Chevrolet Kwid,Chevrolet,2014,86619,Diesel,226725
Maruti i20,Maruti,2013,147348,LPG,136401
Volkswagen Innova,Volkswagen,2012,89530,Diesel,144926
Volkswagen Kwid,Volkswagen,2015,65204,Petrol,281180
Volkswagen Innova,Volkswagen,2009,25563,Petrol,50000
Toyota XUV,Toyota,2021,19847,Petrol,117856
Honda Beat,Honda,2019,141691,Diesel,241213
Toyota Kwid,Toyota,2022,91537,Diesel,580531
Toyota XUV,Toyota,2005,142130,CNG,50000
Renault Swift,Renault,2009,74178,Petrol,50000
Chevrolet i20,Chevrolet,2016,129273,Electric,345456
Renault Polo,Renault,2022,142311,Diesel,272197
Mahindra Swift,Mahindra,2006,55272,Diesel,56063
Tata City,Tata,2011,130030,CNG,127690
Honda i20,Honda,2022,19110,Diesel,171236
Mahindra Beat,Mahindra,2017,138335,Petrol,279332
Mahindra Kwid,Mahindra,2012,20225,Petrol,102240
Toyota Innova,Toyota,2012,115823,LPG,119759
Tata Nexon,Tata,2009,134398,CNG,91044
Tata Kwid,Tata,2005,135354,Electric,50000
Mahindra Polo,Mahindra,2022,38625,CNG,574680
Mahindra Polo,Mahindra,2012,120448,Diesel,81980
Renault Polo,Renault,2012,64061,Diesel,138179
Mahindra Swift,Mahindra,2005,111376,Petrol,50000
Renault Nexon,Renault,2018,29508,Petrol,114489
Volkswagen Kwid,Volkswagen,2006,113409,Diesel,55079
Ford Innova,Ford,2013,121279,CNG,124326
Mahindra Kwid,Mahindra,2017,124044,CNG,116625
Volkswagen Innova,Volkswagen,2018,77203,Electric,218812
Volkswagen Kwid,Volkswagen,2010,46321,LPG,50000
Mahindra Polo,Mahindra,2017,109304,Diesel,405896
Volkswagen Swift,Volkswagen,2017,113754,LPG,268667
Honda Swift,Honda,2011,101736,Diesel,132634
Honda Nexon,Honda,2019,99152,Petrol,480364
Volkswagen Polo,Volkswagen,2011,110494,Petrol,87737
Honda Swift,Honda,2005,149999,CNG,50000
Hyundai i20,Hyundai,2007,89973,LPG,50000
Hyundai Innova,Hyundai,2007,35537,Electric,50000
Tata Nexon,Tata,2013,117522,LPG,59284
Volkswagen Figo,Volkswagen,2012,41348,Diesel,174220
Honda City,Honda,2016,31636,Petrol,301278
Hyundai Swift,Hyundai,2009,56819,Electric,89168
Maruti Nexon,Maruti,2010,88714,LPG,105892
Maruti i20,Maruti,2017,34596,Petrol,285916
Mahindra Figo,Mahindra,2020,69182,Petrol,243039
Mahindra Beat,Mahindra,2019,66088,Electric,523032
Tata Swift,Tata,2019,55379,Diesel,365352
Hyundai i20,Hyundai,2006,56413,Electric,50000
Renault Swift,Renault,2008,17151,Electric,50000
Mahindra Figo,Mahindra,2018,131999,LPG,435745
Honda Kwid,Honda,2008,118177,Petrol,50000
Mahindra City,Mahindra,2021,96365,CNG,497526
Chevrolet Beat,Chevrolet,2016,82588,CNG,60239
Tata Kwid,Tata,2011,28743,Diesel,95240
Chevrolet XUV,Chevrolet,2014,129735,CNG,58224
Ford Swift,Ford,2008,22149,LPG,50000
Renault Polo,Renault,2014,98204,LPG,67934
Mahindra Swift,Mahindra,2013,47384,Petrol,102225
Tata City,Tata,2014,137959,Diesel,50000
Ford Polo,Ford,2014,129503,CNG,71097
Honda Kwid,Honda,2009,120641,Electric,50000
Chevrolet Swift,Chevrolet,2008,148299,Petrol,50000
Volkswagen Swift,Volkswagen,2014,98920,LPG,71702
Ford Polo,Ford,2008,137556,CNG,50000
Ford Swift,Ford,2021,27633,Diesel,632596
Volkswagen Polo,Volkswagen,2021,87231,Petrol,686591
Renault Innova,Renault,2019,102578,Diesel,334304
Mahindra Figo,Mahindra,2011,33711,Diesel,137398
Volkswagen Kwid,Volkswagen,2014,17421,CNG,157512
Toyota Kwid,Toyota,2006,27727,Diesel,50000
Ford Figo,Ford,2011,75108,Diesel,50000
Volkswagen Innova,Volkswagen,2007,134457,CNG,50000
Toyota Swift,Toyota,2015,119847,CNG,127589
Ford Innova,Ford,2008,43893,Diesel,83181
Honda Swift,Honda,2011,64253,Diesel,128940
Mahindra XUV,Mahindra,2012,122356,LPG,99761
Volkswagen Swift,Volkswagen,2008,26456,CNG,50000
Toyota Nexon,Toyota,2005,78008,CNG,50000
Maruti i20,Maruti,2017,82240,Diesel,322556
Honda Beat,Honda,2009,46378,Petrol,50000
Maruti Swift,Maruti,2012,66549,Petrol,50000
Renault Innova,Renault,2022,83794,Electric,762793
Renault XUV,Renault,2016,55113,Petrol,98856
Volkswagen Kwid,Volkswagen,2006,135541,Petrol,50000
Chevrolet Figo,Chevrolet,2007,19686,Electric,50000
Ford Beat,Ford,2012,141733,Electric,170811
Maruti Innova,Maruti,2008,52828,Petrol,64796
Volkswagen XUV,Volkswagen,2019,35592,Electric,184872
Hyundai Nexon,Hyundai,2020,98733,CNG,422439
Ford Polo,Ford,2020,78619,LPG,224892
Maruti XUV,Maruti,2016,91437,Diesel,311100
Mahindra XUV,Mahindra,2012,39301,LPG,177495
Mahindra Innova,Mahindra,2012,28752,Petrol,146663
Hyundai City,Hyundai,2010,131237,CNG,112672
Ford Swift,Ford,2012,101878,Electric,164446
Honda Swift,Honda,2020,20699,Electric,640819
Maruti Kwid,Maruti,2006,128413,CNG,61326
Renault Nexon,Renault,2013,45585,Petrol,202596
Renault Kwid,Renault,2013,94416,LPG,82972
Tata XUV,Tata,2008,100373,CNG,50422
Hyundai Innova,Hyundai,2015,20382,Petrol,182167
Mahindra Swift,Mahindra,2009,71929,Electric,70396
Renault Polo,Renault,2019,108864,CNG,326160
Chevrolet Nexon,Chevrolet,2010,35169,LPG,50000
Chevrolet Swift,Chevrolet,2007,55033,CNG,63325
Chevrolet City,Chevrolet,2010,41750,LPG,115484
Maruti XUV,Maruti,2007,16721,Electric,50000
Honda Figo,Honda,2007,140513,Petrol,76519
Volkswagen Nexon,Volkswagen,2022,146728,CNG,650090
Maruti Beat,Maruti,2005,128947,Electric,50000
Tata City,Tata,2005,41055,Electric,50000
Toyota Beat,Toyota,2018,124099,Electric,234520
Honda Beat,Honda,2007,33429,CNG,77504
Honda Innova,Honda,2006,111268,CNG,56613
Ford Nexon,Ford,2019,50108,CNG,420166
Toyota Polo,Toyota,2016,17967,CNG,98344
Mahindra XUV,Mahindra,2017,38179,Petrol,122658
Chevrolet Innova,Chevrolet,2010,127407,Diesel,97940
Ford Polo,Ford,2015,96269,CNG,50332
Maruti Figo,Maruti,2009,52913,Electric,50000
Ford XUV,Ford,2015,129863,Diesel,275247
Renault Swift,Renault,2013,38141,Petrol,50000
Honda XUV,Honda,2020,133279,LPG,621159
Honda Figo,Honda,2005,107539,Diesel,50000
Toyota Figo,Toyota,2012,33312,Petrol,139991
Toyota Swift,Toyota,2011,108723,Petrol,101563
Tata i20,Tata,2010,67009,LPG,54859
Volkswagen Nexon,Volkswagen,2007,106774,Electric,50000
Toyota Innova,Toyota,2018,41174,Diesel,361026
Volkswagen Swift,Volkswagen,2009,80017,CNG,50000
Renault Innova,Renault,2010,34022,CNG,107821
Chevrolet i20,Chevrolet,2011,70428,LPG,146891
Tata Figo,Tata,2022,141743,Diesel,282497
Maruti Figo,Maruti,2021,145870,Electric,369301
Volkswagen Figo,Volkswagen,2008,138563,Electric,50000
Tata Beat,Tata,2022,31223,LPG,489279
Chevrolet Swift,Chevrolet,2013,38380,Petrol,144284
Mahindra Nexon,Mahindra,2010,127360,Electric,112455
Mahindra Nexon,Mahindra,2021,13191,Petrol,432541
Tata Kwid,Tata,2006,13631,LPG,63056
Mahindra Innova,Mahindra,2005,100353,Electric,50000
Mahindra i20,Mahindra,2012,137734,Diesel,113280
Tata i20,Tata,2012,61399,LPG,108756
Toyota Nexon,Toyota,2021,17099,Electric,407402
Tata Kwid,Tata,2009,40111,Electric,50000
Maruti Beat,Maruti,2009,70920,CNG,50339
Hyundai Beat,Hyundai,2015,17788,Electric,274694
Honda i20,Honda,2012,125053,Diesel,71665
Maruti Beat,Maruti,2019,135426,Petrol,295958
Chevrolet Nexon,Chevrolet,2015,102601,Diesel,250684
Hyundai i20,Hyundai,2009,114797,Electric,81474
Ford Nexon,Ford,2012,146511,Diesel,73676
Chevrolet Innova,Chevrolet,2020,119787,Petrol,153523
Maruti Figo,Maruti,2012,137896,Petrol,76651
Ford Beat,Ford,2019,107661,Diesel,430267
Toyota Swift,Toyota,2013,133257,CNG,166379
Maruti Kwid,Maruti,2022,56857,Electric,738329
Honda City,Honda,2016,147050,Petrol,230977
Hyundai i20,Hyundai,2017,118212,Electric,84104
Renault Polo,Renault,2020,19503,Electric,638896
Renault Polo,Renault,2006,55838,LPG,50000
Maruti City,Maruti,2013,80119,Diesel,203136
Maruti Nexon,Maruti,2022,102949,Diesel,372056
Ford Polo,Ford,2016,103471,LPG,250367
Honda Kwid,Honda,2021,87794,LPG,256464
Maruti i20,Maruti,2011,86272,Petrol,77441
Mahindra Nexon,Mahindra,2013,53950,LPG,203790
Mahindra Innova,Mahindra,2017,135588,CNG,289169
Volkswagen i20,Volkswagen,2018,65533,LPG,173966
Renault Swift,Renault,2016,118255,Petrol,226864
Chevrolet Kwid,Chevrolet,2015,53541,Electric,50000
Mahindra i20,Mahindra,2017,95457,Petrol,92817
Chevrolet Swift,Chevrolet,2019,65731,Petrol,538039
Hyundai Beat,Hyundai,2019,30567,LPG,234642
Renault Figo,Renault,2017,118821,Petrol,340060
Tata XUV,Tata,2009,77260,Diesel,96904
Mahindra Polo,Mahindra,2007,18894,Electric,50000
Honda Swift,Honda,2011,114555,LPG,50000
Renault City,Renault,2009,98199,CNG,55866
Tata XUV,Tata,2020,65147,Diesel,284599
Chevrolet i20,Chevrolet,2005,48787,Diesel,50000
Chevrolet Beat,Chevrolet,2007,31727,Petrol,71765
Ford Polo,Ford,2006,78056,LPG,50000
Mahindra Kwid,Mahindra,2018,90102,Electric,382856
Tata Polo,Tata,2006,77695,Electric,50000
Toyota City,Toyota,2013,127235,CNG,169759
Toyota XUV,Toyota,2014,29033,Electric,119596
Chevrolet Kwid,Chevrolet,2016,36832,LPG,333874
Renault XUV,Renault,2018,29873,Diesel,428646
Volkswagen Innova,Volkswagen,2015,110082,CNG,184982
Mahindra Figo,Mahindra,2010,22087,Diesel,53675
Renault Polo,Renault,2009,92617,Electric,60314
Volkswagen i20,Volkswagen,2019,19596,Petrol,559194
Tata Innova,Tata,2014,123175,Electric,226939
Mahindra Nexon,Mahindra,2009,83445,Diesel,50000
Maruti Swift,Maruti,2012,129654,Electric,172740
Tata Innova,Tata,2014,102197,Petrol,50000
Toyota Beat,Toyota,2017,37766,CNG,333868
Honda Beat,Honda,2008,79122,Petrol,50000
Ford Beat,Ford,2020,105286,LPG,303451
Toyota City,Toyota,2006,26029,Diesel,67907
Mahindra XUV,Mahindra,2021,78926,Electric,269427
Honda Nexon,Honda,2017,72539,CNG,321789
Chevrolet i20,Chevrolet,2010,23428,Diesel,50000
Maruti Figo,Maruti,2008,67775,Diesel,50000
Renault Innova,Renault,2021,86256,Electric,600197
Renault Beat,Renault,2021,94730,Electric,321792
Mahindra City,Mahindra,2019,43787,Petrol,280882
Hyundai Figo,Hyundai,2017,87984,LPG,138623
Honda XUV,Honda,2020,138046,LPG,415387
Renault Swift,Renault,2019,94045,LPG,316298
Maruti Beat,Maruti,2015,13471,LPG,292614
Chevrolet Nexon,Chevrolet,2014,56850,CNG,73616
Tata Nexon,Tata,2021,147469,Electric,222456
Honda Figo,Honda,2017,63072,Diesel,345939
Ford Innova,Ford,2014,35122,Petrol,156494
Mahindra i20,Mahindra,2009,72812,Diesel,50000
Chevrolet Nexon,Chevrolet,2021,118899,Electric,504951
Renault XUV,Renault,2008,15105,CNG,69532
Tata Innova,Tata,2005,12839,CNG,50000
Toyota Kwid,Toyota,2008,52821,Diesel,53119
Hyundai Innova,Hyundai,2018,17531,Petrol,201874
Ford i20,Ford,2008,142503,LPG,54925
Renault City,Renault,2011,141234,CNG,117003
Tata Polo,Tata,2018,17896,LPG,163918
Maruti Innova,Maruti,2016,51800,CNG,310918
Hyundai Kwid,Hyundai,2008,143715,Diesel,50000
Volkswagen Swift,Volkswagen,2015,113864,CNG,221998
Hyundai i20,Hyundai,2008,27073,Electric,59887
Mahindra Kwid,Mahindra,2010,134302,LPG,50000
Volkswagen i20,Volkswagen,2015,76707,Petrol,88092
Toyota City,Toyota,2019,75428,Electric,93760
Honda XUV,Honda,2016,121487,Electric,103459
Maruti Figo,Maruti,2022,38228,Diesel,275624
Chevrolet i20,Chevrolet,2009,107239,Electric,50000
Maruti Innova,Maruti,2016,91912,LPG,107581
Ford Innova,Ford,2022,101006,Diesel,201252
Tata City,Tata,2005,72032,Diesel,50000
Honda Nexon,Honda,2006,28474,Petrol,64759
Toyota Figo,Toyota,2011,54629,Electric,50000
Maruti Beat,Maruti,2021,60669,Diesel,760306
Tata XUV,Tata,2006,79184,CNG,56742
Volkswagen Innova,Volkswagen,2009,93457,CNG,53911
Toyota Figo,Toyota,2020,121672,CNG,234310
Tata City,Tata,2014,75633,Diesel,155258
Maruti Figo,Maruti,2020,88258,CNG,268065
Mahindra City,Mahindra,2011,103269,Diesel,50000
Honda Figo,Honda,2019,40651,CNG,101500
Volkswagen i20,Volkswagen,2014,77263,Electric,64610
Renault Nexon,Renault,2021,47823,Petrol,250529
Volkswagen Kwid,Volkswagen,2008,88707,LPG,90734
Tata City,Tata,2012,106468,Petrol,120393
Maruti Figo,Maruti,2018,124586,LPG,155763
Maruti Innova,Maruti,2012,28489,Electric,149162
Tata Nexon,Tata,2021,39118,Electric,703791
Ford i20,Ford,2007,101179,Petrol,50000
Tata Nexon,Tata,2014,51971,LPG,50000
Chevrolet Figo,Chevrolet,2010,98664,Electric,50000
Tata i20,Tata,2015,147924,Petrol,140368
Toyota Beat,Toyota,2015,143623,CNG,206931
Honda Figo,Honda,2014,132775,Diesel,194332
Volkswagen Kwid,Volkswagen,2013,85939,CNG,73102
Renault Beat,Renault,2012,16710,LPG,74141
Ford Kwid,Ford,2019,47991,CNG,351935
Volkswagen Figo,Volkswagen,2014,148043,CNG,102666
Hyundai Kwid,Hyundai,2010,90257,LPG,88561
Hyundai Nexon,Hyundai,2007,21116,Electric,59754
Maruti City,Maruti,2022,142970,LPG,445913
Volkswagen Beat,Volkswagen,2010,119472,Electric,83990
Renault Innova,Renault,2012,43380,CNG,134543
Renault City,Renault,2020,30074,Electric,419482
Maruti Nexon,Maruti,2008,49901,CNG,50000
Hyundai Innova,Hyundai,2018,134661,Electric,189656
Renault i20,Renault,2013,72987,Petrol,110032
Tata Figo,Tata,2017,62756,Petrol,156736
Volkswagen Kwid,Volkswagen,2017,66481,CNG,63014
Chevrolet Innova,Chevrolet,2010,36170,Electric,63645
Tata XUV,Tata,2009,19752,LPG,96626
Chevrolet Nexon,Chevrolet,2005,36819,LPG,50000
Renault XUV,Renault,2006,42994,CNG,60962
Renault Beat,Renault,2013,105665,LPG,199587
Volkswagen Figo,Volkswagen,2016,132232,Diesel,344164
Chevrolet Beat,Chevrolet,2016,53732,LPG,117228
Tata Beat,Tata,2007,10587,Electric,67561
Chevrolet i20,Chevrolet,2020,130987,Electric,648896
Volkswagen Innova,Volkswagen,2005,35556,Diesel,50000
Chevrolet Swift,Chevrolet,2006,43866,Petrol,61302
Hyundai Kwid,Hyundai,2020,91557,CNG,614088
Ford Kwid,Ford,2009,42602,Diesel,106325
Mahindra Nexon,Mahindra,2020,97969,Electric,644306
Chevrolet Swift,Chevrolet,2019,77494,CNG,301140
Mahindra Polo,Mahindra,2013,48547,LPG,106634
Honda Polo,Honda,2005,31447,Petrol,50000
Maruti i20,Maruti,2008,97960,Diesel,65271
Volkswagen Innova,Volkswagen,2010,122782,Diesel,107052
Chevrolet i20,Chevrolet,2007,119869,Petrol,75780
Mahindra Nexon,Mahindra,2016,63798,Electric,311414
Honda Figo,Honda,2007,60939,LPG,50000
Hyundai Nexon,Hyundai,2005,96661,Petrol,50000
Hyundai Figo,Hyundai,2006,143669,Diesel,50000
Ford Kwid,Ford,2008,96516,Petrol,82543
Renault i20,Renault,2007,22109,Electric,50000
Tata Figo,Tata,2021,149544,CNG,231415
Chevrolet Kwid,Chevrolet,2018,44518,LPG,80952
Toyota City,Toyota,2020,25282,Diesel,194542
Tata Nexon,Tata,2013,15075,LPG,181484
Honda Innova,Honda,2013,21002,Petrol,207302
Hyundai Beat,Hyundai,2019,66307,LPG,521365
Volkswagen Innova,Volkswagen,2010,44228,Diesel,81237
Chevrolet XUV,Chevrolet,2008,53472,LPG,64843
Tata Nexon,Tata,2013,69711,Electric,196516
Volkswagen Swift,Volkswagen,2018,138202,CNG,93197
Chevrolet Innova,Chevrolet,2007,102493,Petrol,50000
Tata City,Tata,2013,18259,Diesel,203193
Mahindra Figo,Mahindra,2012,24849,LPG,62261
Volkswagen City,Volkswagen,2013,73095,Petrol,193637
Volkswagen Kwid,Volkswagen,2020,45292,LPG,586742
Hyundai Polo,Hyundai,2021,61631,Electric,108945
Volkswagen i20,Volkswagen,2016,76314,Electric,143390
Mahindra City,Mahindra,2022,105998,Petrol,474335
Volkswagen City,Volkswagen,2009,68643,Electric,50000
Tata Innova,Tata,2007,148923,CNG,52303
Ford Polo,Ford,2013,95436,Petrol,183246
Maruti Kwid,Maruti,2007,19168,Electric,64399
Tata Polo,Tata,2005,42174,CNG,50000
Hyundai i20,Hyundai,2016,147653,Petrol,70361
Mahindra Nexon,Mahindra,2018,74046,LPG,440493
Mahindra Beat,Mahindra,2012,99906,CNG,141602
Toyota i20,Toyota,2008,40795,CNG,50000
Tata Polo,Tata,2016,141265,Petrol,128862
Chevrolet Figo,Chevrolet,2006,21190,CNG,54664
Volkswagen Nexon,Volkswagen,2010,12261,Petrol,50000
Chevrolet Beat,Chevrolet,2016,38933,LPG,283278
Renault Innova,Renault,2012,122082,Electric,163164
Volkswagen Polo,Volkswagen,2017,105074,Electric,400956
Toyota Beat,Toyota,2018,15410,Diesel,342801
Chevrolet Figo,Chevrolet,2017,106055,Diesel,108594
Maruti Beat,Maruti,2017,96716,Petrol,211175
Chevrolet Innova,Chevrolet,2021,68557,LPG,328509
Mahindra XUV,Mahindra,2005,106038,Diesel,50000
Ford Swift,Ford,2021,27087,CNG,175413
Maruti City,Maruti,2013,146535,Petrol,136157
Honda Innova,Honda,2021,14648,LPG,258647
Chevrolet Figo,Chevrolet,2011,59334,Diesel,107837
Maruti Nexon,Maruti,2011,80028,Electric,75917
Honda Nexon,Honda,2015,91554,LPG,158073
Renault Innova,Renault,2018,71035,CNG,124770
Tata Swift,Tata,2017,144393,Electric,289516
Mahindra Polo,Mahindra,2012,123816,CNG,111692
Honda Nexon,Honda,2018,76262,Diesel,106577
Volkswagen Kwid,Volkswagen,2019,77411,Electric,182340
Chevrolet Nexon,Chevrolet,2022,48211,Diesel,253754
Honda Kwid,Honda,2005,34995,Diesel,50000
Volkswagen Beat,Volkswagen,2012,88931,Electric,130721
Mahindra Swift,Mahindra,2016,71350,Electric,122870
Hyundai i20,Hyundai,2013,124889,CNG,90478
Volkswagen i20,Volkswagen,2015,84637,Petrol,207176
Honda Kwid,Honda,2013,115848,CNG,50000
Ford Beat,Ford,2007,70058,Petrol,69611
Honda Innova,Honda,2006,109932,CNG,50000
Chevrolet Innova,Chevrolet,2007,147103,LPG,50000
Volkswagen Polo,Volkswagen,2012,32785,Diesel,54052
Renault XUV,Renault,2016,12282,LPG,206013
Maruti Innova,Maruti,2017,77534,Petrol,383805
Hyundai Kwid,Hyundai,2009,84964,Petrol,50000
Volkswagen Swift,Volkswagen,2010,110123,Diesel,85986
Tata Swift,Tata,2015,131251,CNG,135353
Toyota XUV,Toyota,2017,72493,Diesel,206454
Hyundai Polo,Hyundai,2016,110127,CNG,201151
Volkswagen City,Volkswagen,2007,89003,CNG,50000
Mahindra City,Mahindra,2019,64312,Petrol,464858
Maruti Kwid,Maruti,2012,25434,Electric,110907
Volkswagen Kwid,Volkswagen,2008,138379,CNG,50000
Mahindra Innova,Mahindra,2006,78803,Electric,50000
Chevrolet Innova,Chevrolet,2005,127961,LPG,50000
Honda Innova,Honda,2007,130234,Diesel,50000
Renault City,Renault,2015,21120,LPG,139885
Hyundai Polo,Hyundai,2016,105040,CNG,322538
Ford Beat,Ford,2008,15744,Diesel,77017
Toyota Nexon,Toyota,2007,130906,Petrol,50000
Renault City,Renault,2008,17597,Electric,65054
Tata Swift,Tata,2015,124650,LPG,222442
Ford Kwid,Ford,2019,143241,CNG,527218
Chevrolet Swift,Chevrolet,2014,18036,LPG,191467
Ford Beat,Ford,2010,147416,Diesel,63437
Maruti Beat,Maruti,2017,30538,Electric,285905
Renault Beat,Renault,2021,69500,CNG,191219
Toyota Kwid,Toyota,2020,120659,Electric,332462
Honda XUV,Honda,2009,12352,Petrol,50000
Renault Figo,Renault,2006,18556,CNG,50000
Volkswagen Polo,Volkswagen,2007,122169,Diesel,50000
Honda Polo,Honda,2017,140544,LPG,196049
Tata Swift,Tata,2018,92302,Electric,377340
Ford Kwid,Ford,2016,10138,LPG,137380
Mahindra Polo,Mahindra,2008,95376,Diesel,50000
Renault Figo,Renault,2007,47772,Petrol,69641
Maruti Nexon,Maruti,2006,36762,Petrol,63149
Mahindra Nexon,Mahindra,2021,95090,Diesel,543816
Hyundai Swift,Hyundai,2012,84965,Electric,50000
Maruti Beat,Maruti,2009,142379,Diesel,50000
Ford Beat,Ford,2021,45428,Diesel,229113
Chevrolet XUV,Chevrolet,2006,36421,LPG,50000
Mahindra Polo,Mahindra,2019,86021,CNG,530149
Hyundai XUV,Hyundai,2015,36086,LPG,143746
Volkswagen Innova,Volkswagen,2021,142279,Diesel,411161
Chevrolet Beat,Chevrolet,2016,23893,Petrol,317922
Renault Nexon,Renault,2020,48635,Diesel,520254
Renault Swift,Renault,2010,88518,Electric,94338
Maruti Figo,Maruti,2010,132813,Petrol,50000
Chevrolet Kwid,Chevrolet,2019,78344,Petrol,286182
Toyota Beat,Toyota,2021,123613,LPG,319431
Hyundai Figo,Hyundai,2019,16142,Electric,234280
Ford Figo,Ford,2008,51862,Petrol,87787
Tata XUV,Tata,2013,110167,Diesel,172845
Toyota City,Toyota,2021,12384,Diesel,752593
Chevrolet Figo,Chevrolet,2005,112239,Electric,50000
Ford Swift,Ford,2010,31826,Electric,50000
Chevrolet Kwid,Chevrolet,2009,34045,Petrol,50000
Hyundai Polo,Hyundai,2020,109441,CNG,623088
Honda Polo,Honda,2015,128325,LPG,171508
Chevrolet Kwid,Chevrolet,2020,62887,Petrol,356878
Maruti Figo,Maruti,2019,37810,CNG,499879
Ford i20,Ford,2022,20503,LPG,174673
Volkswagen Innova,Volkswagen,2021,136439,Electric,519609
Mahindra Nexon,Mahindra,2011,76624,LPG,90509
Volkswagen Beat,Volkswagen,2009,130356,Petrol,107534
Volkswagen Innova,Volkswagen,2012,88471,Petrol,100823
Ford Figo,Ford,2013,21390,LPG,117995
Tata Polo,Tata,2008,104754,CNG,72785
Toyota Swift,Toyota,2013,31281,LPG,50000
Toyota City,Toyota,2018,58511,Electric,179727
Hyundai XUV,Hyundai,2010,29810,CNG,130557
Tata Beat,Tata,2007,51869,Petrol,50000
Honda Kwid,Honda,2017,20207,LPG,113808
Toyota XUV,Toyota,2017,32031,CNG,180596
Honda Figo,Honda,2012,81312,CNG,93983
Hyundai Polo,Hyundai,2006,99833,CNG,50000
Volkswagen XUV,Volkswagen,2020,121041,Diesel,371712
Ford XUV,Ford,2017,20350,LPG,259076
Ford Beat,Ford,2006,78487,Electric,50000
Volkswagen Swift,Volkswagen,2018,63117,Diesel,138839
Ford Figo,Ford,2011,38454,Diesel,87404
Hyundai Figo,Hyundai,2013,132258,Diesel,91763
Ford Figo,Ford,2021,26566,Diesel,449991
Volkswagen Swift,Volkswagen,2014,99571,LPG,228070
Volkswagen Innova,Volkswagen,2022,114859,LPG,856099
Renault Innova,Renault,2019,56101,Electric,561879
Volkswagen Swift,Volkswagen,2008,81126,CNG,50000
Mahindra Beat,Mahindra,2018,56154,Petrol,149840
Tata Nexon,Tata,2016,99678,LPG,253432
Ford City,Ford,2021,99081,CNG,780046
Hyundai Kwid,Hyundai,2022,36917,CNG,699880
Chevrolet City,Chevrolet,2022,90811,CNG,600398
Honda Swift,Honda,2015,29008,Electric,78921
Toyota Innova,Toyota,2013,146865,LPG,50000
Maruti Innova,Maruti,2008,123550,CNG,50000
Chevrolet Kwid,Chevrolet,2017,101218,CNG,375535
Tata Polo,Tata,2010,130779,Diesel,128727
Mahindra City,Mahindra,2005,102122,Diesel,50000
Toyota Figo,Toyota,2014,81854,Petrol,144358
Mahindra XUV,Mahindra,2015,25372,Petrol,199816
Mahindra Kwid,Mahindra,2005,108826,CNG,50000
Tata Polo,Tata,2008,121022,LPG,50000
Tata Kwid,Tata,2013,88356,Diesel,79849
Mahindra i20,Mahindra,2016,76852,LPG,231761
Chevrolet Innova,Chevrolet,2020,76914,Diesel,431143
Renault XUV,Renault,2020,97697,Electric,367533
Ford i20,Ford,2018,133106,LPG,316613
Ford City,Ford,2013,48342,CNG,50000
Volkswagen Beat,Volkswagen,2009,121715,Petrol,93470
Volkswagen i20,Volkswagen,2006,91423,Electric,50000
Mahindra Innova,Mahindra,2013,62389,CNG,97368
Mahindra Polo,Mahindra,2005,86396,CNG,50000
Chevrolet i20,Chevrolet,2017,67505,Diesel,291524
